name,degree,year
Robert Altman,2,1969
"Louis Gossett, Jr.",2,1969
Liv Ullmann,2,1969
Louise Fletcher,2,1969
Cher,2,1969
Peter Bogdanovich,2,1969
Goldie Hawn,2,1969
Sondra Locke,2,1969
Sylvester Stallone,2,1969
Terrence Malick,2,1969
Ian McKellen,2,1969
Olympia Dukakis,2,1969
Peter Weir,2,1969
Edward Norton,1,1969
Anne Shirley,1,1969
Robert Shaw,1,1969
Claude Lelouch,1,1969
John Boorman,1,1969
Costa-Gavras,1,1969
Robert De Niro,1,1969
Lina Wertmüller,1,1969
Jan Troell,1,1969
Harvey Keitel,1,1969
Alan J. Pakula,1,1969
Jill Clayburgh,1,1969
Anjelica Huston,1,1969
Dame Edith Evans,1,1969
Richard Dreyfuss,1,1969
Ryan O'Neal,1,1969
Paul Winfield,1,1969
George Miller,0,1969
Sidney Franklin,0,1969
Bill Murray,0,1969
Helen Hunt,0,1969
Nick Adams,0,1969
Robert Montgomery,0,1969
Akira Kurosawa,0,1969
Robert Benton,0,1969
Ida Kamińska,0,1969
Robin Williams,0,1969
Jeff Bridges,0,1969
Michael Anderson,0,1969
Ben Johnson,0,1969
Michael Mann,0,1969
Armin Mueller-Stahl,0,1969
Joe Pesci,0,1969
Charles Durning,0,1969
Bernardo Bertolucci,0,1969
Edouard Molinaro,0,1969
Hiroshi Teshigahara,0,1969
Grayson Hall,0,1969
Norma Aleandro,0,1969
James Ivory,0,1969
Brad Dourif,0,1969
Steven Spielberg,0,1969
Roy Scheider,0,1969
George Lucas,0,1969
Timothy Hutton,0,1969
Barbet Schroeder,0,1969
Jacki Weaver,0,1969
Krzysztof Kieślowski,0,1969
David Lynch,0,1969
Talia Shire,0,1969
Ali MacGraw,0,1969
John G. Avildsen,0,1969
Gary Cooper,168,1970
John Wayne,154,1970
Walter Brennan,137,1970
Henry Fonda,136,1970
Clark Gable,135,1970
Cary Grant,133,1970
Frank Morgan,132,1970
Jane Darwell,131,1970
Mary Astor,131,1970
Fredric March,131,1970
Gene Lockhart,131,1970
Akim Tamiroff,130,1970
Cecil Kellaway,130,1970
Kirk Douglas,130,1970
Spencer Tracy,129,1970
Adolphe Menjou,128,1970
Lewis Stone,127,1970
William Demarest,126,1970
William Holden,124,1970
James Stewart,124,1970
Donald Crisp,123,1970
Charles Coburn,123,1970
Anthony Quinn,123,1970
Humphrey Bogart,122,1970
David Niven,120,1970
Charles Laughton,119,1970
J. Carrol Naish,118,1970
Walter Pidgeon,116,1970
Spring Byington,116,1970
Lionel Barrymore,115,1970
Louis Calhern,115,1970
Eddie Albert,115,1970
Walter Huston,114,1970
George Sanders,114,1970
James Gleason,113,1970
Stuart Erwin,112,1970
Gregory Peck,112,1970
Joan Crawford,111,1970
Barbara Stanwyck,111,1970
Charles Bickford,111,1970
Mervyn LeRoy,109,1970
Debbie Reynolds,108,1970
Victor McLaglen,107,1970
Agnes Moorehead,107,1970
Donna Reed,107,1970
Lee J. Cobb,106,1970
Beulah Bondi,105,1970
Mickey Rooney,104,1970
Robert Mitchum,104,1970
Jane Wyman,103,1970
Van Heflin,102,1970
Michael Curtiz,101,1970
Frank Sinatra,101,1970
Loretta Young,100,1970
Bing Crosby,99,1970
Burt Lancaster,99,1970
Dean Jagger,98,1970
George Cukor,98,1970
Bette Davis,98,1970
Sam Jaffe,98,1970
Shelley Winters,98,1970
Cecil B. DeMille,97,1970
Edmund Gwenn,97,1970
Charles Boyer,97,1970
Joan Fontaine,97,1970
James Mason,97,1970
Ray Milland,96,1970
Raymond Massey,96,1970
Olivia de Havilland,96,1970
John Ford,95,1970
William Powell,94,1970
Ginger Rogers,94,1970
Franchot Tone,94,1970
Marjorie Main,94,1970
Lana Turner,92,1970
Irene Dunne,91,1970
Henry Travers,91,1970
Karl Malden,91,1970
Robert Ryan,90,1970
Lew Ayres,90,1970
Carole Lombard,89,1970
Tony Curtis,89,1970
George Stevens,88,1970
Melvyn Douglas,88,1970
Billie Burke,87,1970
Elizabeth Taylor,87,1970
Ralph Bellamy,87,1970
Edmond O'Brien,87,1970
Henry Hathaway,86,1970
William Dieterle,85,1970
Otto Preminger,85,1970
Burgess Meredith,85,1970
Claude Rains,84,1970
Roland Young,84,1970
Rosalind Russell,84,1970
Paul Lukas,83,1970
Jack Oakie,83,1970
Laurence Olivier,83,1970
Alexander Knox,83,1970
Jeanne Crain,83,1970
Gladys Cooper,82,1970
Chill Wills,82,1970
Anne Baxter,82,1970
Paul Newman,82,1970
Norma Shearer,81,1970
Robert Morley,81,1970
Natalie Wood,81,1970
Una Merkel,80,1970
William Wyler,80,1970
Anne Revere,80,1970
Broderick Crawford,80,1970
Susan Hayward,80,1970
Jean Simmons,80,1970
Brian Donlevy,79,1970
Katharine Hepburn,79,1970
Claire Trevor,79,1970
Charlton Heston,79,1970
Robert Z. Leonard,78,1970
Orson Welles,78,1970
Gene Tierney,78,1970
Eleanor Parker,78,1970
King Vidor,77,1970
William A. Wellman,77,1970
Joan Blondell,77,1970
Tom Tully,77,1970
Thelma Ritter,77,1970
Ed Begley,77,1970
Clarence Brown,76,1970
Hattie McDaniel,76,1970
Deborah Kerr,76,1970
Gene Kelly,76,1970
Janet Leigh,76,1970
Ernest Borgnine,76,1970
Frank Borzage,75,1970
H. B. Warner,75,1970
Sara Allgood,75,1970
Elsa Lanchester,75,1970
John Huston,75,1970
Merle Oberon,75,1970
Ava Gardner,75,1970
Ellen Corby,75,1970
Ethel Barrymore,74,1970
Wallace Beery,74,1970
Eve Arden,74,1970
Basil Rathbone,73,1970
Claudette Colbert,73,1970
Stuart Whitman,73,1970
Alfred Hitchcock,71,1970
Angela Lansbury,71,1970
Richard Barthelmess,70,1970
Lucile Watson,70,1970
Bonita Granville,70,1970
Richard Widmark,70,1970
Martin Balsam,70,1970
Sam Wood,69,1970
Marjorie Rambeau,69,1970
Mischa Auer,69,1970
Dan Dailey,69,1970
Thomas Gomez,69,1970
Jackie Cooper,68,1970
Aline MacMahon,68,1970
Ralph Richardson,68,1970
Glynis Johns,68,1970
Arthur O'Connell,68,1970
Gig Young,68,1970
May Robson,67,1970
Norman Taurog,67,1970
James Cagney,67,1970
Henry Koster,67,1970
Margaret Sullavan,67,1970
Judith Anderson,67,1970
Greer Garson,67,1970
Vincente Minnelli,67,1970
Martha Hyer,67,1970
John Sturges,67,1970
Rod Steiger,67,1970
William Gargan,66,1970
Leo Genn,66,1970
Ruth Hussey,66,1970
Fay Bainter,65,1970
Yul Brynner,65,1970
Rock Hudson,65,1970
Richard Burton,65,1970
Maurice Chevalier,64,1970
Michael Redgrave,64,1970
Trevor Howard,64,1970
Hope Lange,64,1970
Joseph Schildkraut,63,1970
George Seaton,63,1970
Howard Hawks,62,1970
William Bendix,62,1970
Laurence Harvey,62,1970
James Whitmore,62,1970
Shirley MacLaine,62,1970
Brian Aherne,61,1970
Edward Dmytryk,61,1970
Victor Fleming,60,1970
Ingrid Bergman,60,1970
Marlon Brando,60,1970
Lee Marvin,60,1970
Greta Garbo,59,1970
Anatole Litvak,59,1970
Warner Baxter,58,1970
Gladys George,58,1970
Marlene Dietrich,58,1970
Edna May Oliver,58,1970
Ed Wynn,58,1970
Judy Garland,58,1970
Fred Zinnemann,58,1970
Jean Negulesco,58,1970
José Ferrer,58,1970
Carolyn Jones,58,1970
Paulette Goddard,57,1970
Robert Wise,57,1970
Audrey Hepburn,57,1970
Marie Dressler,56,1970
Ann Sothern,56,1970
Rex Harrison,56,1970
Barry Fitzgerald,56,1970
Hugh Griffith,56,1970
Cornel Wilde,56,1970
Nina Foch,56,1970
George Kennedy,56,1970
John Mills,55,1970
John Garfield,55,1970
Robert Stack,55,1970
Elia Kazan,55,1970
Dorothy McGuire,55,1970
Mildred Dunnock,55,1970
Gale Sondergaard,54,1970
Richard Attenborough,54,1970
Ronald Colman,53,1970
Stanley Holloway,53,1970
Peter Finch,53,1970
Russ Tamblyn,53,1970
George Segal,53,1970
Walter Lang,52,1970
Miriam Hopkins,52,1970
John Farrow,51,1970
Jennifer Jones,51,1970
Peter Ustinov,51,1970
Ernst Lubitsch,50,1970
Lewis Milestone,50,1970
Ann Harding,50,1970
Joseph L. Mankiewicz,50,1970
James Garner,50,1970
Telly Savalas,50,1970
Mary Pickford,49,1970
Jean Arthur,49,1970
Don Ameche,49,1970
Hume Cronyn,49,1970
Alec Guinness,49,1970
Sal Mineo,49,1970
Helen Hayes,48,1970
Frank Lloyd,48,1970
Flora Robson,48,1970
Charles Walters,48,1970
Ann Blyth,48,1970
Montgomery Clift,48,1970
Jack Palance,48,1970
Sophia Loren,48,1970
Walter Matthau,48,1970
Alice Brady,47,1970
Vittorio De Sica,47,1970
Chester Morris,47,1970
Paul Muni,47,1970
Doris Day,47,1970
Jack Kruschen,47,1970
Anthony Perkins,47,1970
Jack Lemmon,47,1970
Omar Sharif,47,1970
Charles Chaplin,46,1970
Bessie Love,46,1970
Frank Capra,46,1970
Monty Woolley,46,1970
Burl Ives,46,1970
Jack Albertson,46,1970
Geraldine Fitzgerald,45,1970
Richard Jaeckel,45,1970
Dean Stockwell,45,1970
Delbert Mann,45,1970
Martha Scott,44,1970
Arthur Hunnicutt,44,1970
Red Buttons,44,1970
Gloria Grahame,44,1970
Dan O'Herlihy,44,1970
Richard Todd,44,1970
Richard Brooks,44,1970
Theodore Bikel,44,1970
Irving Cummings,43,1970
John Gielgud,43,1970
Sylvia Sidney,43,1970
Robert Siodmak,43,1970
Fred Astaire,43,1970
Jan Sterling,43,1970
Carroll Baker,43,1970
Susannah York,43,1970
Jason Robards,42,1970
Peter Sellers,42,1970
Lee Remick,42,1970
Ethel Waters,41,1970
Gloria Stuart,41,1970
Vivien Leigh,41,1970
Teresa Wright,41,1970
Patricia Neal,41,1970
Lillian Gish,40,1970
W. S. Van Dyke,40,1970
Clifton Webb,40,1970
Barbara O'Neil,40,1970
Juanita Moore,40,1970
Sidney Lumet,40,1970
Kim Hunter,40,1970
Dorothy Malone,40,1970
Anthony Quayle,40,1970
Sidney Poitier,40,1970
Peter Falk,40,1970
Billy Wilder,39,1970
Lauren Bacall,39,1970
Eva Marie Saint,39,1970
Martin Ritt,39,1970
Dame May Whitty,38,1970
Janet Gaynor,38,1970
Carol Reed,38,1970
Nancy Olson,38,1970
Shirley Jones,38,1970
Joanne Woodward,38,1970
James Coburn,38,1970
Alexander Hall,37,1970
Mildred Natwick,37,1970
Cara Williams,37,1970
Rita Moreno,37,1970
Dennis Hopper,37,1970
George C. Scott,37,1970
Frank Finlay,37,1970
Margaret Wycherly,36,1970
Michael Caine,36,1970
Sydney Greenstreet,35,1970
Geraldine Page,35,1970
Richard Harris,35,1970
Erich von Stroheim,34,1970
Hermione Baddeley,34,1970
Celeste Holm,34,1970
Anne Bancroft,34,1970
John Cassavetes,34,1970
Peter O'Toole,34,1970
Wesley Ruggles,33,1970
Betty Compson,33,1970
Gregory La Cava,33,1970
Jessica Tandy,33,1970
Maria Ouspenskaya,33,1970
Simone Signoret,33,1970
Mercedes McCambridge,33,1970
Denholm Elliott,33,1970
Jack Warden,33,1970
Anthony Franciosa,33,1970
Sean Connery,33,1970
Bruce Dern,33,1970
Jane Fonda,33,1970
Robert Donat,32,1970
J. Lee Thompson,32,1970
Maggie Smith,32,1970
Stanley Kramer,32,1970
Christopher Plummer,32,1970
Bobby Darin,32,1970
Robert Vaughn,31,1970
Leo McCarey,31,1970
Dorothy Dandridge,31,1970
Wendy Hiller,31,1970
James Stephenson,31,1970
Jules Dassin,31,1970
Margaret Leighton,31,1970
Ian Bannen,31,1970
Steve McQueen,31,1970
Jackie Gleason,30,1970
Shirley Knight,30,1970
Arthur Kennedy,29,1970
David Lean,29,1970
Hope Emerson,29,1970
Anouk Aimée,29,1970
Leslie Caron,29,1970
Martin Landau,29,1970
Richard Dix,28,1970
Louise Dresser,28,1970
Joshua Logan,28,1970
Kay Medford,28,1970
Lee Grant,28,1970
Cliff Robertson,28,1970
Faye Dunaway,28,1970
Gloria Swanson,27,1970
Victor Schertzinger,27,1970
Ruth Chatterton,27,1970
Margaret Rutherford,27,1970
Marisa Pavan,27,1970
Vanessa Redgrave,27,1970
Harry Beaumont,26,1970
Ruth Gordon,26,1970
Valentina Cortese,26,1970
Max von Sydow,26,1970
Grace Kelly,26,1970
Robert Duvall,26,1970
Jack Gilford,25,1970
Barbara Bel Geddes,25,1970
Jean Hagen,25,1970
George Chakiris,25,1970
Eileen Heckart,25,1970
Robert Mulligan,25,1970
Ann-Margret,25,1970
Patricia Collinge,24,1970
Katy Jurado,24,1970
Diane Cilento,24,1970
James Dean,24,1970
Maximilian Schell,24,1970
Gene Hackman,24,1970
Michael J. Pollard,24,1970
Tom Courtenay,24,1970
Oscar Homolka,23,1970
Julie Andrews,23,1970
Jo Van Fleet,23,1970
Alan Bates,23,1970
Katharine Ross,23,1970
Sessue Hayakawa,22,1970
Peggy Wood,22,1970
Nancy Kelly,22,1970
Nancy Carroll,22,1970
Lee Tracy,22,1970
Betsy Blair,22,1970
Beah Richards,22,1970
Alan Arkin,22,1970
William Wellman,21,1970
Diana Wynyard,21,1970
Lila Kedrova,21,1970
Robert Rossen,21,1970
Tony Richardson,21,1970
Jack Nicholson,21,1970
Vincent Gardenia,21,1970
Julie Christie,21,1970
Marcello Mastroianni,20,1970
Piper Laurie,20,1970
Clint Eastwood,20,1970
Elliott Gould,20,1970
Warren Beatty,20,1970
Alfred Lunt,19,1970
Peter Glenville,19,1970
John Dall,19,1970
Cloris Leachman,19,1970
George Roy Hill,19,1970
Melina Mercouri,19,1970
Arthur Hiller,19,1970
Sandy Dennis,19,1970
Terence Stamp,19,1970
Herbert Brenon,18,1970
Anna Magnani,18,1970
Oskar Werner,18,1970
Katina Paxinou,18,1970
Ruby Dee,18,1970
Diahann Carroll,18,1970
Tuesday Weld,18,1970
Maureen Stapleton,18,1970
Robert Redford,18,1970
Lynn Fontanne,17,1970
Leslie Howard,17,1970
Larry Parks,17,1970
Susan Peters,17,1970
Victor Buono,17,1970
Rip Torn,17,1970
Candice Bergen,17,1970
Jon Voight,17,1970
Jack Cardiff,16,1970
Jean Renoir,16,1970
George Burns,16,1970
John Marley,16,1970
Joan Lorring,16,1970
Charles Crichton,16,1970
Frank Perry,16,1970
Stanley Kubrick,16,1970
Diane Varsi,16,1970
Ron Moody,16,1970
Samantha Eggar,16,1970
Buck Henry,16,1970
Sydney Pollack,16,1970
Peggy Ashcroft,15,1970
Andrea Leeds,15,1970
Federico Fellini,15,1970
Jeff Chandler,15,1970
Beatrice Straight,15,1970
Joe Mantell,15,1970
James Caan,15,1970
Estelle Parsons,15,1970
Dustin Hoffman,15,1970
Ian Holm,15,1970
Luise Rainer,14,1970
Maggie McNamara,14,1970
Susan Kohner,14,1970
Albert Finney,14,1970
Sarah Miles,14,1970
Arthur Penn,14,1970
Lynn Redgrave,14,1970
Elizabeth Hartman,14,1970
Mike Nichols,14,1970
John Schlesinger,13,1970
Patty Duke,13,1970
Gena Rowlands,13,1970
Norman Jewison,13,1970
Teri Garr,13,1970
Corinne Griffith,12,1970
Celia Johnson,12,1970
Joyce Redman,12,1970
Robert Loggia,12,1970
John Hurt,12,1970
Emil Jannings,11,1970
George Arliss,11,1970
Judy Holliday,11,1970
Lilia Skala,11,1970
Seymour Cassel,11,1970
Peter Fonda,11,1970
Hal Holbrook,11,1970
Robert Forster,11,1970
Michael Chekhov,10,1970
Josephine Hull,10,1970
Art Carney,10,1970
Michael Cacoyannis,10,1970
Kim Stanley,10,1970
James Coco,10,1970
Karen Black,10,1970
Diane Ladd,10,1970
Joan Hackett,10,1970
Barbra Streisand,10,1970
Leonard Frey,10,1970
George Bancroft,9,1970
Jack Clayton,9,1970
Anthony Harvey,9,1970
Liza Minnelli,9,1970
Roman Polanski,9,1970
Paul Scofield,9,1970
Carol Channing,9,1970
Miyoshi Umeki,9,1970
Rupert Crosse,9,1970
Sylvia Miles,9,1970
Sally Kellerman,9,1970
Franklin J. Schaffner,9,1970
James Earl Jones,9,1970
Charlotte Rampling,9,1970
Giancarlo Giannini,9,1970
Barbara Hershey,9,1970
Sylvester Stallone,9,1970
Elisabeth Bergner,8,1970
Grace Moore,8,1970
Peggy Lee,8,1970
Shirley Booth,8,1970
Rosemary Harris,8,1970
Patty McCormack,8,1970
Mark Rydell,8,1970
Cicely Tyson,8,1970
Francis Ford Coppola,8,1970
Judi Dench,8,1970
Harrison Ford,8,1970
Gene Wilder,8,1970
John Houseman,7,1970
Pietro Germi,7,1970
Michelangelo Antonioni,7,1970
Eva Le Gallienne,7,1970
Catherine Deneuve,7,1970
Mary Tyler Moore,7,1970
Mary Badham,7,1970
Peter Yates,7,1970
Alan Alda,7,1970
Ellen Burstyn,7,1970
Catherine Burns,7,1970
Lotte Lenya,6,1970
Lawrence Tibbett,6,1970
Lee Strasberg,6,1970
Eric Roberts,6,1970
Mary Ure,6,1970
Louis Malle,6,1970
Joan Plowright,6,1970
Ron Howard,6,1970
Liv Ullmann,6,1970
William Friedkin,6,1970
Ken Russell,6,1970
Michael Douglas,6,1970
Lesley Ann Warren,6,1970
Sam Waterston,6,1970
Lynn Carlin,6,1970
Sam Elliott,6,1970
Herbert Ross,5,1970
Ingmar Bergman,5,1970
Richard Farnsworth,5,1970
Bob Fosse,5,1970
Robert Altman,5,1970
François Truffaut,5,1970
Peggy Cass,5,1970
Jerome Robbins,5,1970
Burt Reynolds,5,1970
Dudley Moore,5,1970
Robert De Niro,5,1970
Vivien Merchant,5,1970
Brenda Vaccaro,5,1970
Jeannie Berlin,5,1970
Jane Alexander,5,1970
Harold Russell,4,1970
"Louis Gossett, Jr.",4,1970
Charles Durning,4,1970
Barbara Barrie,4,1970
Pauline Collins,4,1970
Morgan Freeman,4,1970
Woody Allen,4,1970
Geneviève Bujold,4,1970
Anthony Hopkins,4,1970
Eileen Brennan,4,1970
Sondra Locke,4,1970
Al Pacino,4,1970
Paul Winfield,4,1970
Carrie Snodgress,4,1970
Chief Dan George,4,1970
Jeanne Eagels,3,1970
Gillo Pontecorvo,3,1970
Jeff Bridges,3,1970
Colette Marchand,3,1970
Joel Grey,3,1970
Emmanuelle Riva,3,1970
Dyan Cannon,3,1970
Martin Scorsese,3,1970
Sally Kirkland,3,1970
Roy Scheider,3,1970
Helen Mirren,3,1970
Glenda Jackson,3,1970
Michael Radford,3,1970
Goldie Hawn,3,1970
Jack Wild,3,1970
Talia Shire,3,1970
Bruce Davison,3,1970
Frank Langella,3,1970
Diane Keaton,3,1970
Ted Wilde,2,1970
Miliza Korjus,2,1970
Albert Basserman,2,1970
Franco Zeffirelli,2,1970
Robert Stevenson,2,1970
Brandon De Wilde,2,1970
Grayson Hall,2,1970
Louise Fletcher,2,1970
John Boorman,2,1970
Cher,2,1970
Peter Bogdanovich,2,1970
Terrence Malick,2,1970
Ian McKellen,2,1970
Olympia Dukakis,2,1970
Ryan O'Neal,2,1970
Peter Weir,2,1970
Hal Ashby,2,1970
Edward Norton,1,1970
Anne Shirley,1,1970
Robert Shaw,1,1970
Claude Lelouch,1,1970
Costa-Gavras,1,1970
Lina Wertmüller,1,1970
Jan Troell,1,1970
Harvey Keitel,1,1970
Alan J. Pakula,1,1970
Jill Clayburgh,1,1970
Anjelica Huston,1,1970
Dame Edith Evans,1,1970
Richard Dreyfuss,1,1970
John G. Avildsen,1,1970
Penelope Milford,1,1970
Susan Sarandon,1,1970
George Miller,0,1970
Sidney Franklin,0,1970
Bill Murray,0,1970
Helen Hunt,0,1970
Nick Adams,0,1970
Robert Montgomery,0,1970
Akira Kurosawa,0,1970
Robert Benton,0,1970
Ida Kamińska,0,1970
Robin Williams,0,1970
Michael Anderson,0,1970
Ben Johnson,0,1970
Michael Mann,0,1970
Armin Mueller-Stahl,0,1970
Joe Pesci,0,1970
Bernardo Bertolucci,0,1970
Edouard Molinaro,0,1970
Hiroshi Teshigahara,0,1970
Norma Aleandro,0,1970
James Ivory,0,1970
Brad Dourif,0,1970
Steven Spielberg,0,1970
George Lucas,0,1970
Timothy Hutton,0,1970
Barbet Schroeder,0,1970
Jacki Weaver,0,1970
Krzysztof Kieślowski,0,1970
David Lynch,0,1970
Ali MacGraw,0,1970
Sissy Spacek,0,1970
Marie-Christine Barrault,0,1970
Robert Downey Jr.,0,1970
Fernanda Montenegro,0,1970
Gary Cooper,168,1971
John Wayne,158,1971
Henry Fonda,143,1971
Walter Brennan,137,1971
Clark Gable,135,1971
Kirk Douglas,135,1971
Cary Grant,133,1971
Frank Morgan,132,1971
Jane Darwell,131,1971
Mary Astor,131,1971
Fredric March,131,1971
Gene Lockhart,131,1971
Akim Tamiroff,130,1971
Cecil Kellaway,130,1971
Spencer Tracy,129,1971
James Stewart,129,1971
Adolphe Menjou,128,1971
Lewis Stone,127,1971
William Holden,127,1971
William Demarest,126,1971
Donald Crisp,123,1971
Charles Coburn,123,1971
Anthony Quinn,123,1971
Humphrey Bogart,122,1971
David Niven,121,1971
Charles Laughton,119,1971
J. Carrol Naish,118,1971
Walter Pidgeon,116,1971
Spring Byington,116,1971
Lionel Barrymore,115,1971
Louis Calhern,115,1971
Eddie Albert,115,1971
Walter Huston,114,1971
George Sanders,114,1971
Gregory Peck,114,1971
James Gleason,113,1971
Stuart Erwin,112,1971
Joan Crawford,111,1971
Barbara Stanwyck,111,1971
Charles Bickford,111,1971
Mervyn LeRoy,109,1971
Lee J. Cobb,109,1971
Debbie Reynolds,109,1971
Agnes Moorehead,108,1971
Victor McLaglen,107,1971
Donna Reed,107,1971
Beulah Bondi,105,1971
Robert Mitchum,105,1971
Mickey Rooney,104,1971
Jane Wyman,103,1971
Van Heflin,102,1971
Shelley Winters,102,1971
Michael Curtiz,101,1971
Frank Sinatra,101,1971
Burt Lancaster,101,1971
Loretta Young,100,1971
John Ford,99,1971
Dean Jagger,99,1971
Bing Crosby,99,1971
Sam Jaffe,99,1971
George Cukor,98,1971
Bette Davis,98,1971
Cecil B. DeMille,97,1971
Edmund Gwenn,97,1971
Charles Boyer,97,1971
Joan Fontaine,97,1971
James Mason,97,1971
Ray Milland,96,1971
Raymond Massey,96,1971
Olivia de Havilland,96,1971
William Powell,94,1971
Robert Ryan,94,1971
Ginger Rogers,94,1971
Franchot Tone,94,1971
Marjorie Main,94,1971
Karl Malden,94,1971
Lana Turner,92,1971
Irene Dunne,91,1971
Henry Travers,91,1971
Lew Ayres,90,1971
Ralph Bellamy,90,1971
Burgess Meredith,90,1971
Carole Lombard,89,1971
Henry Hathaway,89,1971
Tony Curtis,89,1971
George Stevens,88,1971
Melvyn Douglas,88,1971
Billie Burke,87,1971
Elizabeth Taylor,87,1971
Otto Preminger,87,1971
Edmond O'Brien,87,1971
Alexander Knox,86,1971
Paul Newman,86,1971
William Dieterle,85,1971
Laurence Olivier,85,1971
Chill Wills,85,1971
Anne Baxter,85,1971
Claude Rains,84,1971
Roland Young,84,1971
Rosalind Russell,84,1971
Paul Lukas,83,1971
Jack Oakie,83,1971
Jeanne Crain,83,1971
Gladys Cooper,82,1971
Katharine Hepburn,82,1971
Robert Morley,82,1971
Norma Shearer,81,1971
Natalie Wood,81,1971
Una Merkel,80,1971
William Wyler,80,1971
Anne Revere,80,1971
Broderick Crawford,80,1971
Orson Welles,80,1971
Susan Hayward,80,1971
Jean Simmons,80,1971
Brian Donlevy,79,1971
Joan Blondell,79,1971
Claire Trevor,79,1971
Charlton Heston,79,1971
Ernest Borgnine,79,1971
Robert Z. Leonard,78,1971
Elsa Lanchester,78,1971
Gene Tierney,78,1971
Eleanor Parker,78,1971
King Vidor,77,1971
William A. Wellman,77,1971
Tom Tully,77,1971
Ellen Corby,77,1971
Thelma Ritter,77,1971
Ed Begley,77,1971
Clarence Brown,76,1971
John Huston,76,1971
Hattie McDaniel,76,1971
Deborah Kerr,76,1971
Gene Kelly,76,1971
Janet Leigh,76,1971
Frank Borzage,75,1971
H. B. Warner,75,1971
Sara Allgood,75,1971
Merle Oberon,75,1971
Ava Gardner,75,1971
Ethel Barrymore,74,1971
Wallace Beery,74,1971
Eve Arden,74,1971
Stuart Whitman,74,1971
Basil Rathbone,73,1971
Claudette Colbert,73,1971
Martin Balsam,73,1971
Angela Lansbury,72,1971
Alfred Hitchcock,71,1971
Richard Barthelmess,70,1971
Jackie Cooper,70,1971
Lucile Watson,70,1971
Bonita Granville,70,1971
Arthur O'Connell,70,1971
Trevor Howard,70,1971
Richard Widmark,70,1971
Sam Wood,69,1971
Marjorie Rambeau,69,1971
Mischa Auer,69,1971
Ralph Richardson,69,1971
Dan Dailey,69,1971
Thomas Gomez,69,1971
Aline MacMahon,68,1971
Michael Redgrave,68,1971
Glynis Johns,68,1971
Gig Young,68,1971
Rod Steiger,68,1971
May Robson,67,1971
Norman Taurog,67,1971
James Cagney,67,1971
Henry Koster,67,1971
Margaret Sullavan,67,1971
Judith Anderson,67,1971
Greer Garson,67,1971
Vincente Minnelli,67,1971
Martha Hyer,67,1971
John Sturges,67,1971
William Gargan,66,1971
Leo Genn,66,1971
Ruth Hussey,66,1971
Yul Brynner,66,1971
Rock Hudson,66,1971
Richard Burton,66,1971
Fay Bainter,65,1971
Maurice Chevalier,64,1971
Hope Lange,64,1971
Joseph Schildkraut,63,1971
George Seaton,63,1971
Shirley MacLaine,63,1971
Howard Hawks,62,1971
William Bendix,62,1971
Laurence Harvey,62,1971
James Whitmore,62,1971
Brian Aherne,61,1971
Edward Dmytryk,61,1971
Victor Fleming,60,1971
Ingrid Bergman,60,1971
Nina Foch,60,1971
Marlon Brando,60,1971
Lee Marvin,60,1971
Greta Garbo,59,1971
Anatole Litvak,59,1971
Warner Baxter,58,1971
Gladys George,58,1971
Marlene Dietrich,58,1971
Edna May Oliver,58,1971
Ed Wynn,58,1971
Judy Garland,58,1971
Fred Zinnemann,58,1971
Jean Negulesco,58,1971
Dorothy McGuire,58,1971
José Ferrer,58,1971
Carolyn Jones,58,1971
Paulette Goddard,57,1971
Hugh Griffith,57,1971
Robert Wise,57,1971
Russ Tamblyn,57,1971
Audrey Hepburn,57,1971
George Kennedy,57,1971
Marie Dressler,56,1971
Ann Sothern,56,1971
Rex Harrison,56,1971
Peter Finch,56,1971
Barry Fitzgerald,56,1971
Cornel Wilde,56,1971
Stanley Holloway,55,1971
John Mills,55,1971
John Garfield,55,1971
Robert Stack,55,1971
Elia Kazan,55,1971
Richard Attenborough,55,1971
Mildred Dunnock,55,1971
George Segal,55,1971
Gale Sondergaard,54,1971
Ronald Colman,53,1971
James Garner,53,1971
Telly Savalas,53,1971
Walter Lang,52,1971
Miriam Hopkins,52,1971
Bessie Love,51,1971
John Farrow,51,1971
Jennifer Jones,51,1971
Peter Ustinov,51,1971
Walter Matthau,51,1971
Ernst Lubitsch,50,1971
Lewis Milestone,50,1971
Ann Harding,50,1971
Joseph L. Mankiewicz,50,1971
Sal Mineo,50,1971
Mary Pickford,49,1971
Jean Arthur,49,1971
Don Ameche,49,1971
Hume Cronyn,49,1971
Dean Stockwell,49,1971
Alec Guinness,49,1971
Sophia Loren,49,1971
Jack Lemmon,49,1971
Omar Sharif,49,1971
Helen Hayes,48,1971
Frank Lloyd,48,1971
Flora Robson,48,1971
Arthur Hunnicutt,48,1971
Richard Jaeckel,48,1971
Charles Walters,48,1971
Ann Blyth,48,1971
Jack Albertson,48,1971
Montgomery Clift,48,1971
Jack Kruschen,48,1971
Jack Palance,48,1971
Alice Brady,47,1971
Vittorio De Sica,47,1971
Chester Morris,47,1971
Paul Muni,47,1971
Doris Day,47,1971
Anthony Perkins,47,1971
Delbert Mann,47,1971
Charles Chaplin,46,1971
Frank Capra,46,1971
Monty Woolley,46,1971
Gloria Grahame,46,1971
Burl Ives,46,1971
Richard Brooks,46,1971
Geraldine Fitzgerald,45,1971
Martha Scott,44,1971
