source,target,year
Eva Marie Saint,Otto Preminger,1960
Ralph Richardson,Sal Mineo,1960
Ralph Richardson,Lee J. Cobb,1960
Ralph Richardson,Hugh Griffith,1960
Ralph Richardson,Otto Preminger,1960
Sal Mineo,Lee J. Cobb,1960
Sal Mineo,Hugh Griffith,1960
Sal Mineo,Otto Preminger,1960
Lee J. Cobb,Hugh Griffith,1960
Lee J. Cobb,Otto Preminger,1960
Hugh Griffith,Otto Preminger,1960
John Wayne,Richard Widmark,1960
John Wayne,Laurence Harvey,1960
John Wayne,Chill Wills,1960
John Wayne,John Wayne,1960
Richard Widmark,Laurence Harvey,1960
Richard Widmark,Chill Wills,1960
Richard Widmark,John Wayne,1960
Laurence Harvey,Chill Wills,1960
Laurence Harvey,John Wayne,1960
Chill Wills,John Wayne,1960
Anthony Quinn,Peter O'Toole,1960
Rita Moreno,Dyan Cannon,1960
Stuart Whitman,Peter Falk,1960
Stuart Whitman,Vincent Gardenia,1960
Peter Falk,Vincent Gardenia,1960
Max von Sydow,Ingmar Bergman,1960
Sophia Loren,Peter Sellers,1960
Sophia Loren,Vittorio De Sica,1960
Peter Sellers,Vittorio De Sica,1960
Doris Day,Rex Harrison,1960
Doris Day,Hermione Baddeley,1960
Rex Harrison,Hermione Baddeley,1960
Peter Finch,James Mason,1960
Alec Guinness,John Mills,1960
Alec Guinness,Susannah York,1960
John Mills,Susannah York,1960
Anne Baxter,Arthur O'Connell,1960
Anne Baxter,Russ Tamblyn,1960
Anne Baxter,Mercedes McCambridge,1960
Anne Baxter,Aline MacMahon,1960
Anne Baxter,Charles Walters,1960
Arthur O'Connell,Russ Tamblyn,1960
Arthur O'Connell,Mercedes McCambridge,1960
Arthur O'Connell,Aline MacMahon,1960
Arthur O'Connell,Charles Walters,1960
Russ Tamblyn,Mercedes McCambridge,1960
Russ Tamblyn,Aline MacMahon,1960
Russ Tamblyn,Charles Walters,1960
Mercedes McCambridge,Aline MacMahon,1960
Mercedes McCambridge,Charles Walters,1960
Aline MacMahon,Charles Walters,1960
Laurence Olivier,Joan Plowright,1960
Laurence Olivier,Alan Bates,1960
Laurence Olivier,Albert Finney,1960
Laurence Olivier,Tony Richardson,1960
Joan Plowright,Alan Bates,1960
Joan Plowright,Albert Finney,1960
Joan Plowright,Tony Richardson,1960
Alan Bates,Albert Finney,1960
Alan Bates,Tony Richardson,1960
Albert Finney,Tony Richardson,1960
Robert Morley,Ralph Richardson,1960
Robert Morley,Alexander Knox,1960
Ralph Richardson,Alexander Knox,1960
Burt Lancaster,Audrey Hepburn,1960
Burt Lancaster,Charles Bickford,1960
Burt Lancaster,Lillian Gish,1960
Burt Lancaster,John Huston,1960
Audrey Hepburn,Charles Bickford,1960
Audrey Hepburn,Lillian Gish,1960
Audrey Hepburn,John Huston,1960
Charles Bickford,Lillian Gish,1960
Charles Bickford,John Huston,1960
Lillian Gish,John Huston,1960
Dan Dailey,Shirley Jones,1960
Dan Dailey,William Demarest,1960
Dan Dailey,Billie Burke,1960
Dan Dailey,Maurice Chevalier,1960
Dan Dailey,Charles Coburn,1960
Dan Dailey,Bing Crosby,1960
Dan Dailey,Tony Curtis,1960
Dan Dailey,Bobby Darin,1960
Dan Dailey,Judy Garland,1960
Dan Dailey,Greer Garson,1960
Dan Dailey,Janet Leigh,1960
Dan Dailey,Jack Lemmon,1960
Dan Dailey,Donna Reed,1960
Dan Dailey,Debbie Reynolds,1960
Dan Dailey,Frank Sinatra,1960
Shirley Jones,William Demarest,1960
Shirley Jones,Billie Burke,1960
Shirley Jones,Maurice Chevalier,1960
Shirley Jones,Charles Coburn,1960
Shirley Jones,Bing Crosby,1960
Shirley Jones,Tony Curtis,1960
Shirley Jones,Bobby Darin,1960
Shirley Jones,Judy Garland,1960
Shirley Jones,Greer Garson,1960
Shirley Jones,Janet Leigh,1960
Shirley Jones,Jack Lemmon,1960
Shirley Jones,Donna Reed,1960
Shirley Jones,Debbie Reynolds,1960
Shirley Jones,Frank Sinatra,1960
William Demarest,Billie Burke,1960
William Demarest,Maurice Chevalier,1960
William Demarest,Charles Coburn,1960
William Demarest,Bing Crosby,1960
William Demarest,Tony Curtis,1960
William Demarest,Bobby Darin,1960
William Demarest,Judy Garland,1960
William Demarest,Greer Garson,1960
William Demarest,Janet Leigh,1960
William Demarest,Jack Lemmon,1960
William Demarest,Donna Reed,1960
William Demarest,Debbie Reynolds,1960
William Demarest,Frank Sinatra,1960
Billie Burke,Maurice Chevalier,1960
Billie Burke,Charles Coburn,1960
Billie Burke,Bing Crosby,1960
Billie Burke,Tony Curtis,1960
Billie Burke,Bobby Darin,1960
Billie Burke,Judy Garland,1960
Billie Burke,Greer Garson,1960
Billie Burke,Janet Leigh,1960
Billie Burke,Jack Lemmon,1960
Billie Burke,Donna Reed,1960
Billie Burke,Debbie Reynolds,1960
Billie Burke,Frank Sinatra,1960
Maurice Chevalier,Charles Coburn,1960
Maurice Chevalier,Bing Crosby,1960
Maurice Chevalier,Tony Curtis,1960
Maurice Chevalier,Bobby Darin,1960
Maurice Chevalier,Judy Garland,1960
Maurice Chevalier,Greer Garson,1960
Maurice Chevalier,Janet Leigh,1960
Maurice Chevalier,Jack Lemmon,1960
Maurice Chevalier,Donna Reed,1960
Maurice Chevalier,Debbie Reynolds,1960
Maurice Chevalier,Frank Sinatra,1960
Charles Coburn,Bing Crosby,1960
Charles Coburn,Tony Curtis,1960
Charles Coburn,Bobby Darin,1960
Charles Coburn,Judy Garland,1960
Charles Coburn,Greer Garson,1960
Charles Coburn,Janet Leigh,1960
Charles Coburn,Jack Lemmon,1960
Charles Coburn,Donna Reed,1960
Charles Coburn,Debbie Reynolds,1960
Charles Coburn,Frank Sinatra,1960
Bing Crosby,Tony Curtis,1960
Bing Crosby,Bobby Darin,1960
Bing Crosby,Judy Garland,1960
Bing Crosby,Greer Garson,1960
Bing Crosby,Janet Leigh,1960
Bing Crosby,Jack Lemmon,1960
Bing Crosby,Donna Reed,1960
Bing Crosby,Debbie Reynolds,1960
Bing Crosby,Frank Sinatra,1960
Tony Curtis,Bobby Darin,1960
Tony Curtis,Judy Garland,1960
Tony Curtis,Greer Garson,1960
Tony Curtis,Janet Leigh,1960
Tony Curtis,Jack Lemmon,1960
Tony Curtis,Donna Reed,1960
Tony Curtis,Debbie Reynolds,1960
Tony Curtis,Frank Sinatra,1960
Bobby Darin,Judy Garland,1960
Bobby Darin,Greer Garson,1960
Bobby Darin,Janet Leigh,1960
Bobby Darin,Jack Lemmon,1960
Bobby Darin,Donna Reed,1960
Bobby Darin,Debbie Reynolds,1960
Bobby Darin,Frank Sinatra,1960
Judy Garland,Greer Garson,1960
Judy Garland,Janet Leigh,1960
Judy Garland,Jack Lemmon,1960
Judy Garland,Donna Reed,1960
Judy Garland,Debbie Reynolds,1960
Judy Garland,Frank Sinatra,1960
Greer Garson,Janet Leigh,1960
Greer Garson,Jack Lemmon,1960
Greer Garson,Donna Reed,1960
Greer Garson,Debbie Reynolds,1960
Greer Garson,Frank Sinatra,1960
Janet Leigh,Jack Lemmon,1960
Janet Leigh,Donna Reed,1960
Janet Leigh,Debbie Reynolds,1960
Janet Leigh,Frank Sinatra,1960
Jack Lemmon,Donna Reed,1960
Jack Lemmon,Debbie Reynolds,1960
Jack Lemmon,Frank Sinatra,1960
Donna Reed,Debbie Reynolds,1960
Donna Reed,Frank Sinatra,1960
Debbie Reynolds,Frank Sinatra,1960
Ed Wynn,Judith Anderson,1960
Bing Crosby,Tuesday Weld,1960
Clark Gable,Sophia Loren,1960
Clark Gable,Vittorio De Sica,1960
Sophia Loren,Vittorio De Sica,1960
Marcello Mastroianni,Simone Signoret,1960
Marcello Mastroianni,Emmanuelle Riva,1960
Simone Signoret,Emmanuelle Riva,1960
John Wayne,Henry Hathaway,1960
Rod Steiger,Henry Hathaway,1960
Robert Stack,Dorothy Malone,1960
Robert Stack,George Sanders,1960
Robert Stack,Edmond O'Brien,1960
Robert Stack,Jack Kruschen,1960
Dorothy Malone,George Sanders,1960
Dorothy Malone,Edmond O'Brien,1960
Dorothy Malone,Jack Kruschen,1960
George Sanders,Edmond O'Brien,1960
George Sanders,Jack Kruschen,1960
Edmond O'Brien,Jack Kruschen,1960
Leslie Caron,Vittorio De Sica,1960
Leslie Caron,Jack Palance,1960
Leslie Caron,Orson Welles,1960
Vittorio De Sica,Jack Palance,1960
Vittorio De Sica,Orson Welles,1960
Jack Palance,Orson Welles,1960
Peter O'Toole,Hugh Griffith,1960
James Garner,Natalie Wood,1960
James Garner,Nina Foch,1960
James Garner,Dean Jagger,1960
Natalie Wood,Nina Foch,1960
Natalie Wood,Dean Jagger,1960
Nina Foch,Dean Jagger,1960
Billie Burke,John Ford,1960
Tony Curtis,Janet Leigh,1960
Tony Curtis,James Whitmore,1960
Janet Leigh,James Whitmore,1960
Frank Sinatra,Shirley MacLaine,1960
Frank Sinatra,Maurice Chevalier,1960
Frank Sinatra,Walter Lang,1960
Shirley MacLaine,Maurice Chevalier,1960
Shirley MacLaine,Walter Lang,1960
Maurice Chevalier,Walter Lang,1960
Ellen Corby,Norman Taurog,1960
Doris Day,David Niven,1960
Doris Day,Spring Byington,1960
Doris Day,Charles Walters,1960
David Niven,Spring Byington,1960
David Niven,Charles Walters,1960
Spring Byington,Charles Walters,1960
Bing Crosby,Gene Kelly,1960
Bing Crosby,George Cukor,1960
Gene Kelly,George Cukor,1960
Burt Lancaster,Jean Simmons,1960
Burt Lancaster,Shirley Jones,1960
Burt Lancaster,Dean Jagger,1960
Burt Lancaster,Richard Brooks,1960
Jean Simmons,Shirley Jones,1960
Jean Simmons,Dean Jagger,1960
Jean Simmons,Richard Brooks,1960
Shirley Jones,Dean Jagger,1960
Shirley Jones,Richard Brooks,1960
Dean Jagger,Richard Brooks,1960
Sophia Loren,Anthony Quinn,1960
Sophia Loren,Eileen Heckart,1960
Sophia Loren,George Cukor,1960
Anthony Quinn,Eileen Heckart,1960
Anthony Quinn,George Cukor,1960
Eileen Heckart,George Cukor,1960
Sophia Loren,Maurice Chevalier,1960
Sophia Loren,Angela Lansbury,1960
Sophia Loren,Michael Curtiz,1960
Maurice Chevalier,Angela Lansbury,1960
Maurice Chevalier,Michael Curtiz,1960
Angela Lansbury,Michael Curtiz,1960
Peter Finch,Peter O'Toole,1960
Denholm Elliott,Elizabeth Taylor,1960
Denholm Elliott,Jack Cardiff,1960
Elizabeth Taylor,Jack Cardiff,1960
Ava Gardner,Vittorio De Sica,1960
Lana Turner,Anthony Quinn,1960
Peter Sellers,Robert Morley,1960
Peter Sellers,Charles Crichton,1960
Robert Morley,Charles Crichton,1960
Robert Mitchum,Eleanor Parker,1960
Robert Mitchum,Vincente Minnelli,1960
Eleanor Parker,Vincente Minnelli,1960
Emmanuelle Riva,Gillo Pontecorvo,1960
Natalie Wood,Susan Kohner,1960
Jack Lemmon,Tom Tully,1960
Marlon Brando,Joanne Woodward,1960
Marlon Brando,Anna Magnani,1960
Marlon Brando,Maureen Stapleton,1960
Marlon Brando,Sidney Lumet,1960
Joanne Woodward,Anna Magnani,1960
Joanne Woodward,Maureen Stapleton,1960
Joanne Woodward,Sidney Lumet,1960
Anna Magnani,Maureen Stapleton,1960
Anna Magnani,Sidney Lumet,1960
Maureen Stapleton,Sidney Lumet,1960
Kirk Douglas,Walter Matthau,1960
Robert Mitchum,Richard Harris,1960
Robert Mitchum,Dan O'Herlihy,1960
Richard Harris,Dan O'Herlihy,1960
James Cagney,Richard Jaeckel,1960
Richard Todd,Peter Sellers,1960
Jane Wyman,Karl Malden,1960
Jane Wyman,Adolphe Menjou,1960
Jane Wyman,Agnes Moorehead,1960
Jane Wyman,Nancy Olson,1960
Jane Wyman,Donald Crisp,1960
Karl Malden,Adolphe Menjou,1960
Karl Malden,Agnes Moorehead,1960
Karl Malden,Nancy Olson,1960
Karl Malden,Donald Crisp,1960
Adolphe Menjou,Agnes Moorehead,1960
Adolphe Menjou,Nancy Olson,1960
Adolphe Menjou,Donald Crisp,1960
Agnes Moorehead,Nancy Olson,1960
Agnes Moorehead,Donald Crisp,1960
Nancy Olson,Donald Crisp,1960
Merle Oberon,Jack Nicholson,1960
Anthony Perkins,Jane Fonda,1960
Anthony Perkins,Joshua Logan,1960
Jane Fonda,Joshua Logan,1960
Richard Burton,Robert Ryan,1960
Richard Burton,Carolyn Jones,1960
Richard Burton,Martha Hyer,1960
Richard Burton,Shirley Knight,1960
Robert Ryan,Carolyn Jones,1960
Robert Ryan,Martha Hyer,1960
Robert Ryan,Shirley Knight,1960
Carolyn Jones,Martha Hyer,1960
Carolyn Jones,Shirley Knight,1960
Martha Hyer,Shirley Knight,1960
Spencer Tracy,Fredric March,1960
Spencer Tracy,Gene Kelly,1960
Spencer Tracy,Stanley Kramer,1960
Fredric March,Gene Kelly,1960
Fredric March,Stanley Kramer,1960
Gene Kelly,Stanley Kramer,1960
Orson Welles,Alexander Knox,1960
Patty McCormack,Michael Curtiz,1960
Mickey Rooney,Tuesday Weld,1960
Mickey Rooney,Cecil Kellaway,1960
Mickey Rooney,Mickey Rooney,1960
Tuesday Weld,Cecil Kellaway,1960
Tuesday Weld,Mickey Rooney,1960
Cecil Kellaway,Mickey Rooney,1960
Van Heflin,Charles Laughton,1960
Barbara Bel Geddes,Van Heflin,1960
Barbara Bel Geddes,Pietro Germi,1960
Barbara Bel Geddes,Martin Ritt,1960
Van Heflin,Pietro Germi,1960
Van Heflin,Martin Ritt,1960
Pietro Germi,Martin Ritt,1960
Stuart Whitman,Peggy Wood,1960
Stuart Whitman,Henry Koster,1960
Peggy Wood,Henry Koster,1960
Jack Warden,Mervyn LeRoy,1960
Trevor Howard,Dorothy Dandridge,1960
Ernest Borgnine,John Marley,1960
Donald Crisp,Theodore Bikel,1960
Mickey Rooney,Richard Jaeckel,1960
Dorothy McGuire,Eve Arden,1960
Dorothy McGuire,Angela Lansbury,1960
Dorothy McGuire,Shirley Knight,1960
Dorothy McGuire,Delbert Mann,1960
Eve Arden,Angela Lansbury,1960
Eve Arden,Shirley Knight,1960
Eve Arden,Delbert Mann,1960
Angela Lansbury,Shirley Knight,1960
Angela Lansbury,Delbert Mann,1960
Shirley Knight,Delbert Mann,1960
Burl Ives,Shelley Winters,1960
Audrey Hepburn,Patricia Neal,1961
Audrey Hepburn,Martin Balsam,1961
Audrey Hepburn,Mickey Rooney,1961
Patricia Neal,Martin Balsam,1961
Patricia Neal,Mickey Rooney,1961
Martin Balsam,Mickey Rooney,1961
Stuart Whitman,Rod Steiger,1961
Marcello Mastroianni,Pietro Germi,1961
Natalie Wood,Warren Beatty,1961
Natalie Wood,Sandy Dennis,1961
Natalie Wood,Elia Kazan,1961
Warren Beatty,Sandy Dennis,1961
Warren Beatty,Elia Kazan,1961
Sandy Dennis,Elia Kazan,1961
Marlon Brando,Karl Malden,1961
Marlon Brando,Katy Jurado,1961
Marlon Brando,Marlon Brando,1961
Karl Malden,Katy Jurado,1961
Karl Malden,Marlon Brando,1961
Katy Jurado,Marlon Brando,1961
James Cagney,Billy Wilder,1961
Angela Lansbury,Norman Taurog,1961
Walter Pidgeon,Joan Fontaine,1961
Clark Gable,Montgomery Clift,1961
Clark Gable,Thelma Ritter,1961
Clark Gable,John Huston,1961
Clark Gable,John Huston,1961
Montgomery Clift,Thelma Ritter,1961
Montgomery Clift,John Huston,1961
Montgomery Clift,John Huston,1961
Thelma Ritter,John Huston,1961
Thelma Ritter,John Huston,1961
John Huston,John Huston,1961
Richard Todd,Richard Harris,1961
Richard Todd,Laurence Harvey,1961
Richard Harris,Laurence Harvey,1961
Leslie Caron,Maurice Chevalier,1961
Leslie Caron,Charles Boyer,1961
Leslie Caron,Joshua Logan,1961
Maurice Chevalier,Charles Boyer,1961
Maurice Chevalier,Joshua Logan,1961
Charles Boyer,Joshua Logan,1961
Bette Davis,Hope Lange,1961
Bette Davis,Arthur O'Connell,1961
Bette Davis,Peter Falk,1961
Bette Davis,Ann-Margret,1961
Bette Davis,Ellen Corby,1961
Bette Davis,Frank Capra,1961
Hope Lange,Arthur O'Connell,1961
Hope Lange,Peter Falk,1961
Hope Lange,Ann-Margret,1961
Hope Lange,Ellen Corby,1961
Hope Lange,Frank Capra,1961
Arthur O'Connell,Peter Falk,1961
Arthur O'Connell,Ann-Margret,1961
Arthur O'Connell,Ellen Corby,1961
Arthur O'Connell,Frank Capra,1961
Peter Falk,Ann-Margret,1961
Peter Falk,Ellen Corby,1961
Peter Falk,Frank Capra,1961
Ann-Margret,Ellen Corby,1961
Ann-Margret,Frank Capra,1961
Ellen Corby,Frank Capra,1961
Nancy Olson,Ed Wynn,1961
Vivien Leigh,Warren Beatty,1961
Vivien Leigh,Lotte Lenya,1961
Vivien Leigh,Bessie Love,1961
Warren Beatty,Lotte Lenya,1961
Warren Beatty,Bessie Love,1961
Lotte Lenya,Bessie Love,1961
Sidney Poitier,Ruby Dee,1961
Sidney Poitier,"Louis Gossett, Jr.",1961
Ruby Dee,"Louis Gossett, Jr.",1961
Hope Lange,Tuesday Weld,1961
Anthony Quinn,Jack Palance,1961
Anthony Quinn,Ernest Borgnine,1961
Anthony Quinn,Katy Jurado,1961
Anthony Quinn,Valentina Cortese,1961
Jack Palance,Ernest Borgnine,1961
Jack Palance,Katy Jurado,1961
Jack Palance,Valentina Cortese,1961
Ernest Borgnine,Katy Jurado,1961
Ernest Borgnine,Valentina Cortese,1961
Katy Jurado,Valentina Cortese,1961
Max von Sydow,Ingmar Bergman,1961
Deborah Kerr,Michael Redgrave,1961
Deborah Kerr,Jack Clayton,1961
Michael Redgrave,Jack Clayton,1961
James Stewart,Richard Widmark,1961
James Stewart,Shirley Jones,1961
James Stewart,John Ford,1961
Richard Widmark,Shirley Jones,1961
Richard Widmark,John Ford,1961
Shirley Jones,John Ford,1961
Peter Sellers,Peter Sellers,1961
Mary Tyler Moore,James Stewart,1961
John Wayne,Stuart Whitman,1961
John Wayne,Lee Marvin,1961
John Wayne,Michael Curtiz,1961
John Wayne,John Wayne,1961
Stuart Whitman,Lee Marvin,1961
Stuart Whitman,Michael Curtiz,1961
Stuart Whitman,John Wayne,1961
Lee Marvin,Michael Curtiz,1961
Lee Marvin,John Wayne,1961
Michael Curtiz,John Wayne,1961
Mickey Rooney,Jackie Cooper,1961
Steve McQueen,Dean Jagger,1961
Natalie Wood,Rita Moreno,1961
Natalie Wood,George Chakiris,1961
Natalie Wood,Russ Tamblyn,1961
Natalie Wood,Robert Wise,1961
Natalie Wood,Jerome Robbins,1961
Rita Moreno,George Chakiris,1961
Rita Moreno,Russ Tamblyn,1961
Rita Moreno,Robert Wise,1961
Rita Moreno,Jerome Robbins,1961
George Chakiris,Russ Tamblyn,1961
George Chakiris,Robert Wise,1961
George Chakiris,Jerome Robbins,1961
Russ Tamblyn,Robert Wise,1961
Russ Tamblyn,Jerome Robbins,1961
Robert Wise,Jerome Robbins,1961
Shirley MacLaine,Audrey Hepburn,1961
Shirley MacLaine,James Garner,1961
Shirley MacLaine,Miriam Hopkins,1961
Shirley MacLaine,Fay Bainter,1961
Shirley MacLaine,William Wyler,1961
Audrey Hepburn,James Garner,1961
Audrey Hepburn,Miriam Hopkins,1961
Audrey Hepburn,Fay Bainter,1961
Audrey Hepburn,William Wyler,1961
James Garner,Miriam Hopkins,1961
James Garner,Fay Bainter,1961
James Garner,William Wyler,1961
Miriam Hopkins,Fay Bainter,1961
Miriam Hopkins,William Wyler,1961
Fay Bainter,William Wyler,1961
Rock Hudson,Doris Day,1961
Rock Hudson,Jack Oakie,1961
Rock Hudson,Jack Kruschen,1961
Rock Hudson,Jack Albertson,1961
Rock Hudson,Delbert Mann,1961
Doris Day,Jack Oakie,1961
Doris Day,Jack Kruschen,1961
Doris Day,Jack Albertson,1961
Doris Day,Delbert Mann,1961
Jack Oakie,Jack Kruschen,1961
Jack Oakie,Jack Albertson,1961
Jack Oakie,Delbert Mann,1961
Jack Kruschen,Jack Albertson,1961
Jack Kruschen,Delbert Mann,1961
Jack Albertson,Delbert Mann,1961
Burt Lancaster,Shelley Winters,1961
Burt Lancaster,Telly Savalas,1961
Shelley Winters,Telly Savalas,1961
Paul Newman,Joanne Woodward,1961
Paul Newman,Sidney Poitier,1961
Paul Newman,Diahann Carroll,1961
Paul Newman,Martin Ritt,1961
Joanne Woodward,Sidney Poitier,1961
Joanne Woodward,Diahann Carroll,1961
Joanne Woodward,Martin Ritt,1961
Sidney Poitier,Diahann Carroll,1961
Sidney Poitier,Martin Ritt,1961
Diahann Carroll,Martin Ritt,1961
Marcello Mastroianni,Michelangelo Antonioni,1961
Peter Finch,Stanley Holloway,1961
Ingrid Bergman,Anthony Perkins,1961
Ingrid Bergman,Diahann Carroll,1961
Ingrid Bergman,Anatole Litvak,1961
Anthony Perkins,Diahann Carroll,1961
Anthony Perkins,Anatole Litvak,1961
Diahann Carroll,Anatole Litvak,1961
Rock Hudson,Joel Grey,1961
Rock Hudson,Bobby Darin,1961
Rock Hudson,Robert Mulligan,1961
Joel Grey,Bobby Darin,1961
Joel Grey,Robert Mulligan,1961
Bobby Darin,Robert Mulligan,1961
Susan Hayward,Martin Balsam,1961
Paul Newman,Jackie Gleason,1961
Paul Newman,Piper Laurie,1961
Paul Newman,George C. Scott,1961
Paul Newman,Vincent Gardenia,1961
Paul Newman,Robert Rossen,1961
Jackie Gleason,Piper Laurie,1961
Jackie Gleason,George C. Scott,1961
Jackie Gleason,Vincent Gardenia,1961
Jackie Gleason,Robert Rossen,1961
Piper Laurie,George C. Scott,1961
Piper Laurie,Vincent Gardenia,1961
Piper Laurie,Robert Rossen,1961
George C. Scott,Vincent Gardenia,1961
George C. Scott,Robert Rossen,1961
Vincent Gardenia,Robert Rossen,1961
Gary Cooper,Deborah Kerr,1961
Gary Cooper,Diane Cilento,1961
Deborah Kerr,Diane Cilento,1961
Claudette Colbert,Karl Malden,1961
Claudette Colbert,Dean Jagger,1961
Claudette Colbert,Sylvia Miles,1961
Claudette Colbert,Vincent Gardenia,1961
Karl Malden,Dean Jagger,1961
Karl Malden,Sylvia Miles,1961
Karl Malden,Vincent Gardenia,1961
Dean Jagger,Sylvia Miles,1961
Dean Jagger,Vincent Gardenia,1961
Sylvia Miles,Vincent Gardenia,1961
Fredric March,Eddie Albert,1961
Fredric March,Aline MacMahon,1961
Fredric March,George Segal,1961
Eddie Albert,Aline MacMahon,1961
Eddie Albert,George Segal,1961
Aline MacMahon,George Segal,1961
Jack Palance,Ernest Borgnine,1961
Jack Palance,Anouk Aimée,1961
Jack Palance,Melina Mercouri,1961
Jack Palance,Vittorio De Sica,1961
Jack Palance,Akim Tamiroff,1961
Jack Palance,Vittorio De Sica,1961
Ernest Borgnine,Anouk Aimée,1961
Ernest Borgnine,Melina Mercouri,1961
Ernest Borgnine,Vittorio De Sica,1961
Ernest Borgnine,Akim Tamiroff,1961
Ernest Borgnine,Vittorio De Sica,1961
Anouk Aimée,Melina Mercouri,1961
Anouk Aimée,Vittorio De Sica,1961
Anouk Aimée,Akim Tamiroff,1961
Anouk Aimée,Vittorio De Sica,1961
Melina Mercouri,Vittorio De Sica,1961
Melina Mercouri,Akim Tamiroff,1961
Melina Mercouri,Vittorio De Sica,1961
Vittorio De Sica,Akim Tamiroff,1961
Vittorio De Sica,Vittorio De Sica,1961
Akim Tamiroff,Vittorio De Sica,1961
Miyoshi Umeki,Henry Koster,1961
Richard Widmark,Richard Widmark,1961
Bobby Darin,Rupert Crosse,1961
Bobby Darin,Seymour Cassel,1961
Bobby Darin,John Cassavetes,1961
Rupert Crosse,Seymour Cassel,1961
Rupert Crosse,John Cassavetes,1961
Seymour Cassel,John Cassavetes,1961
Kirk Douglas,Richard Jaeckel,1961
Robert Mitchum,Martha Hyer,1961
Anthony Franciosa,Ernest Borgnine,1961
Anthony Franciosa,Charles Walters,1961
Ernest Borgnine,Charles Walters,1961
Stuart Whitman,Cecil Kellaway,1961
Stuart Whitman,Michael Curtiz,1961
Cecil Kellaway,Michael Curtiz,1961
Shirley MacLaine,Cliff Robertson,1961
Sean Connery,Stanley Holloway,1961
George Sanders,Ron Moody,1961
Laurence Harvey,Geraldine Page,1961
Laurence Harvey,Rita Moreno,1961
Laurence Harvey,Una Merkel,1961
Laurence Harvey,Thomas Gomez,1961
Laurence Harvey,Peter Glenville,1961
Geraldine Page,Rita Moreno,1961
Geraldine Page,Una Merkel,1961
Geraldine Page,Thomas Gomez,1961
Geraldine Page,Peter Glenville,1961
Rita Moreno,Una Merkel,1961
Rita Moreno,Thomas Gomez,1961
Rita Moreno,Peter Glenville,1961
Una Merkel,Thomas Gomez,1961
Una Merkel,Peter Glenville,1961
Thomas Gomez,Peter Glenville,1961
Van Heflin,Michael Cacoyannis,1961
Lana Turner,Agnes Moorehead,1961
Mercedes McCambridge,Burt Reynolds,1961
Mercedes McCambridge,Joan Blondell,1961
Burt Reynolds,Joan Blondell,1961
Tuesday Weld,Eleanor Parker,1961
Tuesday Weld,Mary Astor,1961
Tuesday Weld,José Ferrer,1961
Eleanor Parker,Mary Astor,1961
Eleanor Parker,José Ferrer,1961
Mary Astor,José Ferrer,1961
Richard Todd,Judith Anderson,1961
Peter Ustinov,Akim Tamiroff,1961
Peter Ustinov,Peter Ustinov,1961
Akim Tamiroff,Peter Ustinov,1961
Shirley MacLaine,Laurence Harvey,1961
Shirley MacLaine,Charles Walters,1961
Laurence Harvey,Charles Walters,1961
Lee Remick,Tony Richardson,1961
Chill Wills,George Kennedy,1961
Orson Welles,Vittorio De Sica,1961
Debbie Reynolds,Thelma Ritter,1961
James Coburn,Dorothy Dandridge,1961
James Coburn,Joe Mantell,1961
Dorothy Dandridge,Joe Mantell,1961
Dan O'Herlihy,William Demarest,1961
Dan O'Herlihy,Joseph Schildkraut,1961
Dan O'Herlihy,Mickey Rooney,1961
William Demarest,Joseph Schildkraut,1961
William Demarest,Mickey Rooney,1961
Joseph Schildkraut,Mickey Rooney,1961
Tony Curtis,Delbert Mann,1961
Eleanor Parker,Jeanne Crain,1961
Eleanor Parker,Eddie Albert,1961
Jeanne Crain,Eddie Albert,1961
Stuart Whitman,Raymond Massey,1961
Stuart Whitman,Geraldine Fitzgerald,1961
Raymond Massey,Geraldine Fitzgerald,1961
Cliff Robertson,Robert Vaughn,1961
Rod Steiger,Ian Bannen,1961
Broderick Crawford,Valentina Cortese,1961
Rosalind Russell,Alec Guinness,1961
Rosalind Russell,Mervyn LeRoy,1961
Alec Guinness,Mervyn LeRoy,1961
Susan Hayward,James Mason,1961
Susan Hayward,Walter Lang,1961
James Mason,Walter Lang,1961
Vincent Gardenia,Telly Savalas,1961
Vincent Gardenia,Gene Hackman,1961
Telly Savalas,Gene Hackman,1961
Alec Guinness,Anthony Quinn,1962
Alec Guinness,José Ferrer,1962
Alec Guinness,Anthony Quayle,1962
Alec Guinness,Claude Rains,1962
Alec Guinness,Arthur Kennedy,1962
Alec Guinness,Omar Sharif,1962
Alec Guinness,Peter O'Toole,1962
Alec Guinness,David Lean,1962
Anthony Quinn,José Ferrer,1962
Anthony Quinn,Anthony Quayle,1962
Anthony Quinn,Claude Rains,1962
Anthony Quinn,Arthur Kennedy,1962
Anthony Quinn,Omar Sharif,1962
Anthony Quinn,Peter O'Toole,1962
Anthony Quinn,David Lean,1962
José Ferrer,Anthony Quayle,1962
José Ferrer,Claude Rains,1962
José Ferrer,Arthur Kennedy,1962
José Ferrer,Omar Sharif,1962
José Ferrer,Peter O'Toole,1962
José Ferrer,David Lean,1962
Anthony Quayle,Claude Rains,1962
Anthony Quayle,Arthur Kennedy,1962
Anthony Quayle,Omar Sharif,1962
Anthony Quayle,Peter O'Toole,1962
Anthony Quayle,David Lean,1962
Claude Rains,Arthur Kennedy,1962
Claude Rains,Omar Sharif,1962
