source,target,year
Emil Jannings,Ernst Lubitsch,1917
Ernst Lubitsch,Ernst Lubitsch,1917
Bessie Love,Frank Borzage,1917
Bessie Love,Frank Borzage,1917
Frank Borzage,Frank Borzage,1917
Frank Borzage,Robert Z. Leonard,1917
Robert Vaughn,Jeanne Eagels,1917
Richard Barthelmess,Herbert Brenon,1917
Ethel Barrymore,Irving Cummings,1917
Charles Chaplin,Wesley Ruggles,1918
Lillian Gish,Erich von Stroheim,1918
Gloria Swanson,Frank Borzage,1918
Emil Jannings,Ernst Lubitsch,1918
Frank Borzage,Frank Borzage,1918
Alice Brady,Frank Morgan,1918
Ernst Lubitsch,Ernst Lubitsch,1918
Ernst Lubitsch,Ernst Lubitsch,1918
Lillian Gish,Richard Barthelmess,1919
Lillian Gish,Donald Crisp,1919
Richard Barthelmess,Donald Crisp,1919
Gloria Swanson,Cecil B. DeMille,1919
Charles Chaplin,Charles Chaplin,1919
Charles Chaplin,Charles Chaplin,1919
Victor Fleming,Victor Fleming,1919
Gloria Swanson,Irving Cummings,1919
Gloria Swanson,Sam Wood,1919
Gloria Swanson,Cecil B. DeMille,1919
Irving Cummings,Sam Wood,1919
Irving Cummings,Cecil B. DeMille,1919
Sam Wood,Cecil B. DeMille,1919
Gloria Swanson,Cecil B. DeMille,1919
Erich von Stroheim,Erich von Stroheim,1919
Emil Jannings,Ernst Lubitsch,1919
Ernst Lubitsch,Ernst Lubitsch,1919
Irving Cummings,George Stevens,1919
Wallace Beery,Clarence Brown,1920
George Stevens,May Robson,1920
Lillian Gish,Richard Barthelmess,1920
Wallace Beery,Victor Fleming,1920
Wallace Beery,Irving Cummings,1920
Gloria Swanson,Cecil B. DeMille,1920
Gloria Swanson,Cecil B. DeMille,1920
Norma Shearer,Robert Z. Leonard,1920
Emil Jannings,Ernst Lubitsch,1920
Ernst Lubitsch,Ernst Lubitsch,1920
Emil Jannings,Ernst Lubitsch,1920
Alice Brady,George Stevens,1920
Corinne Griffith,William Holden,1920
Lewis Stone,Donald Crisp,1920
Adolphe Menjou,Victor Schertzinger,1920
Adolphe Menjou,Loretta Young,1921
Charles Chaplin,Charles Chaplin,1921
Lillian Gish,Joseph Schildkraut,1921
Gloria Swanson,Sam Wood,1921
Donald Crisp,Donald Crisp,1921
Gloria Swanson,Cecil B. DeMille,1921
Norma Shearer,Herbert Brenon,1921
Mary Pickford,Adolphe Menjou,1921
Gloria Swanson,Sam Wood,1921
Gloria Swanson,Sam Wood,1921
Billie Burke,Fredric March,1921
Lionel Barrymore,Fredric March,1921
Sessue Hayakawa,Bessie Love,1921
Wallace Beery,Frank Lloyd,1921
Corinne Griffith,Edward Norton,1921
Lewis Stone,Victor Schertzinger,1921
George Arliss,Fredric March,1921
Lewis Stone,Wallace Beery,1921
Charles Chaplin,Charles Chaplin,1922
Alice Brady,Victor Fleming,1922
Adolphe Menjou,Victor Schertzinger,1922
Erich von Stroheim,Erich von Stroheim,1922
Bessie Love,John Ford,1922
Roland Young,William Powell,1922
Gloria Swanson,Sam Wood,1922
Gloria Swanson,Sam Wood,1922
Gloria Swanson,Sam Wood,1922
Gloria Swanson,Sam Wood,1922
Gloria Swanson,Mervyn LeRoy,1922
Gloria Swanson,Sam Wood,1922
Mervyn LeRoy,Sam Wood,1922
Bessie Love,W. S. Van Dyke,1922
Sessue Hayakawa,Bessie Love,1922
Alice Brady,Betty Compson,1922
Alice Brady,Cecil B. DeMille,1922
Alice Brady,Gloria Swanson,1922
Betty Compson,Cecil B. DeMille,1922
Betty Compson,Gloria Swanson,1922
Cecil B. DeMille,Gloria Swanson,1922
Emil Jannings,Ernst Lubitsch,1922
Wallace Beery,Wesley Ruggles,1922
Warner Baxter,Wesley Ruggles,1922
George Arliss,Mary Astor,1922
Sessue Hayakawa,Bessie Love,1922
Adolphe Menjou,Irving Cummings,1922
Adolphe Menjou,Frank Lloyd,1922
Irving Cummings,Frank Lloyd,1922
Richard Dix,Frank Lloyd,1922
Irving Cummings,Wallace Beery,1922
Irving Cummings,Irving Cummings,1922
Wallace Beery,Irving Cummings,1922
Lewis Stone,Wallace Beery,1922
Adolphe Menjou,Charles Chaplin,1923
Richard Dix,Cecil B. DeMille,1923
Mervyn LeRoy,Victor Fleming,1923
Lillian Gish,Ronald Colman,1923
Jean Arthur,John Ford,1923
Wallace Beery,Adolphe Menjou,1923
Wallace Beery,Herbert Brenon,1923
Adolphe Menjou,Herbert Brenon,1923
Mary Pickford,Ernst Lubitsch,1923
Lionel Barrymore,Ronald Colman,1923
Bessie Love,Warner Baxter,1923
Mary Astor,Charles Chaplin,1923
Mary Astor,Betty Compson,1923
Mary Astor,Cecil B. DeMille,1923
Mary Astor,Mary Pickford,1923
Mary Astor,Gloria Swanson,1923
Charles Chaplin,Betty Compson,1923
Charles Chaplin,Cecil B. DeMille,1923
Charles Chaplin,Mary Pickford,1923
Charles Chaplin,Gloria Swanson,1923
Betty Compson,Cecil B. DeMille,1923
Betty Compson,Mary Pickford,1923
Betty Compson,Gloria Swanson,1923
Cecil B. DeMille,Mary Pickford,1923
Cecil B. DeMille,Gloria Swanson,1923
Mary Pickford,Gloria Swanson,1923
Corinne Griffith,Frank Lloyd,1923
Betty Compson,Victor McLaglen,1923
Betty Compson,Alfred Hitchcock,1923
Victor McLaglen,Alfred Hitchcock,1923
Wallace Beery,Frank Lloyd,1923
Betty Compson,Alfred Hitchcock,1923
Richard Barthelmess,William Powell,1923
Richard Barthelmess,Mary Astor,1923
William Powell,Mary Astor,1923
Gloria Swanson,Sam Wood,1923
Gloria Swanson,H. B. Warner,1923
Basil Rathbone,Jack Cardiff,1923
