index,year_ceremony,category,name,film,winner,nconst,birthYear,deathYear,primaryProfession,ceremonyAge,alive,currentYear,currentAge,gender
31756,1996,ACTOR IN A LEADING ROLE,Sean Penn,Dead Man Walking,False,nm0000576,1960,0,"actor,director,producer",36,True,2021,61,M
31760,2000,ACTOR IN A LEADING ROLE,Sean Penn,Sweet and Lowdown,False,nm0000576,1960,0,"actor,director,producer",40,True,2021,61,M
31764,2002,ACTOR IN A LEADING ROLE,Sean Penn,I Am Sam,False,nm0000576,1960,0,"actor,director,producer",42,True,2021,61,M
31768,2004,ACTOR IN A LEADING ROLE,Sean Penn,Mystic River,True,nm0000576,1960,0,"actor,director,producer",44,True,2021,61,M
31772,2009,ACTOR IN A LEADING ROLE,Sean Penn,Milk,True,nm0000576,1960,0,"actor,director,producer",49,True,2021,61,M
31776,1996,ACTOR IN A LEADING ROLE,Massimo Troisi,The Postman (Il Postino),False,nm0873385,1953,1994,"actor,writer,director",43,False,2021,0,M
31777,1996,ACTOR IN A SUPPORTING ROLE,James Cromwell,Babe,False,nm0000342,1940,0,"actor,producer,soundtrack",56,True,2021,81,M
31781,1996,ACTOR IN A SUPPORTING ROLE,Ed Harris,Apollo 13,False,nm0000438,1950,0,"actor,producer,director",46,True,2021,71,M
31810,1999,ACTOR IN A SUPPORTING ROLE,Ed Harris,The Truman Show,False,nm0000438,1950,0,"actor,producer,director",49,True,2021,71,M
31839,2001,ACTOR IN A LEADING ROLE,Ed Harris,Pollock,False,nm0000438,1950,0,"actor,producer,director",51,True,2021,71,M
31868,2003,ACTOR IN A SUPPORTING ROLE,Ed Harris,The Hours,False,nm0000438,1950,0,"actor,producer,director",53,True,2021,71,M
31897,1996,ACTOR IN A SUPPORTING ROLE,Brad Pitt,12 Monkeys,False,nm0000093,1963,0,"actor,producer,soundtrack",33,True,2021,58,M
31898,2009,ACTOR IN A LEADING ROLE,Brad Pitt,The Curious Case of Benjamin Button,False,nm0000093,1963,0,"actor,producer,soundtrack",46,True,2021,58,M
31899,2012,ACTOR IN A LEADING ROLE,Brad Pitt,Moneyball,False,nm0000093,1963,0,"actor,producer,soundtrack",49,True,2021,58,M
31900,2020,ACTOR IN A SUPPORTING ROLE,Brad Pitt,Once upon a Time...in Hollywood,True,nm0000093,1963,0,"actor,producer,soundtrack",57,True,2021,58,M
31901,1996,ACTOR IN A SUPPORTING ROLE,Tim Roth,Rob Roy,False,nm0000619,1961,0,"actor,producer,soundtrack",35,True,2021,60,M
31907,1996,ACTOR IN A SUPPORTING ROLE,Kevin Spacey,The Usual Suspects,True,nm0000228,1959,0,"actor,producer,soundtrack",37,True,2021,62,M
31908,2000,ACTOR IN A LEADING ROLE,Kevin Spacey,American Beauty,True,nm0000228,1959,0,"actor,producer,soundtrack",41,True,2021,62,M
