index,year_ceremony,category,name,film,winner,nconst,birthYear,deathYear,primaryProfession,ceremonyAge,alive,currentYear,currentAge,gender
3719,1944,ACTRESS,Greer Garson,Madame Curie,False,nm0002093,1904,1996,"actress,soundtrack,miscellaneous",40,False,2021,0,F
3720,1945,ACTRESS,Greer Garson,Mrs. Parkington,False,nm0002093,1904,1996,"actress,soundtrack,miscellaneous",41,False,2021,0,F
3721,1946,ACTRESS,Greer Garson,The Valley of Decision,False,nm0002093,1904,1996,"actress,soundtrack,miscellaneous",42,False,2021,0,F
3722,1961,ACTRESS,Greer Garson,Sunrise at Campobello,False,nm0002093,1904,1996,"actress,soundtrack,miscellaneous",57,False,2021,0,F
3723,1940,ACTRESS,Vivien Leigh,Gone with the Wind,True,nm0000046,1913,1967,"actress,soundtrack,writer",27,False,2021,0,F
3725,1952,ACTRESS,Vivien Leigh,A Streetcar Named Desire,True,nm0000046,1913,1967,"actress,soundtrack,writer",39,False,2021,0,F
3727,1940,ACTRESS IN A SUPPORTING ROLE,Olivia de Havilland,Gone with the Wind,False,nm0000014,1916,2020,"actress,soundtrack",24,False,2021,0,F
3728,1942,ACTRESS,Olivia de Havilland,Hold Back the Dawn,False,nm0000014,1916,2020,"actress,soundtrack",26,False,2021,0,F
3729,1947,ACTRESS,Olivia de Havilland,To Each His Own,True,nm0000014,1916,2020,"actress,soundtrack",31,False,2021,0,F
3730,1949,ACTRESS,Olivia de Havilland,The Snake Pit,False,nm0000014,1916,2020,"actress,soundtrack",33,False,2021,0,F
3731,1950,ACTRESS,Olivia de Havilland,The Heiress,True,nm0000014,1916,2020,"actress,soundtrack",34,False,2021,0,F
3732,1940,ACTRESS IN A SUPPORTING ROLE,Geraldine Fitzgerald,Wuthering Heights,False,nm0280242,1913,2005,"actress,writer,producer",27,False,2021,0,F
3738,1940,ACTRESS IN A SUPPORTING ROLE,Hattie McDaniel,Gone with the Wind,True,nm0567408,1893,1952,"actress,soundtrack,writer",47,False,2021,0,F
3739,1940,ACTRESS IN A SUPPORTING ROLE,Edna May Oliver,Drums along the Mohawk,False,nm0646829,1883,1942,"actress,soundtrack",57,False,2021,0,F
4051,1941,ACTRESS,Joan Fontaine,Rebecca,False,nm0000021,1917,2013,"actress,soundtrack,producer",24,False,2021,0,F
4053,1942,ACTRESS,Joan Fontaine,Suspicion,True,nm0000021,1917,2013,"actress,soundtrack,producer",25,False,2021,0,F
4055,1944,ACTRESS,Joan Fontaine,The Constant Nymph,False,nm0000021,1917,2013,"actress,soundtrack,producer",27,False,2021,0,F
4057,1941,ACTRESS,Ginger Rogers,Kitty Foyle,True,nm0001677,1911,1995,"actress,soundtrack",30,False,2021,0,F
4058,1941,ACTRESS,Martha Scott,Our Town,False,nm0779549,1912,2003,"actress,producer",29,False,2021,0,F
4061,1941,ACTRESS IN A SUPPORTING ROLE,Judith Anderson,Rebecca,False,nm0000752,1897,1992,"actress,soundtrack",44,False,2021,0,F
4067,1941,ACTRESS IN A SUPPORTING ROLE,Jane Darwell,The Grapes of Wrath,True,nm0002034,1879,1967,actress,62,False,2021,0,F
4068,1941,ACTRESS IN A SUPPORTING ROLE,Ruth Hussey,The Philadelphia Story,False,nm0404046,1911,2005,actress,30,False,2021,0,F
4069,1941,ACTRESS IN A SUPPORTING ROLE,Barbara O'Neil,"All This, and Heaven Too",False,nm0641966,1910,1980,actress,31,False,2021,0,F
4070,1941,ACTRESS IN A SUPPORTING ROLE,Marjorie Rambeau,Primrose Path,False,nm0708081,1889,1970,"actress,soundtrack",52,False,2021,0,F
4071,1954,ACTRESS IN A SUPPORTING ROLE,Marjorie Rambeau,Torch Song,False,nm0708081,1889,1970,"actress,soundtrack",65,False,2021,0,F
4257,1942,ACTRESS IN A SUPPORTING ROLE,Sara Allgood,How Green Was My Valley,False,nm0021329,1880,1950,actress,62,False,2021,0,F
4258,1942,ACTRESS IN A SUPPORTING ROLE,Mary Astor,The Great Lie,True,nm0000802,1906,1987,"actress,soundtrack",36,False,2021,0,F
4259,1942,ACTRESS IN A SUPPORTING ROLE,Patricia Collinge,The Little Foxes,False,nm0172048,1892,1974,"actress,writer",50,False,2021,0,F
4260,1942,ACTRESS IN A SUPPORTING ROLE,Teresa Wright,The Little Foxes,False,nm0942863,1918,2005,"actress,soundtrack",24,False,2021,0,F
4265,1943,ACTRESS,Teresa Wright,The Pride of the Yankees,False,nm0942863,1918,2005,"actress,soundtrack",25,False,2021,0,F
4270,1943,ACTRESS IN A SUPPORTING ROLE,Teresa Wright,Mrs. Miniver,True,nm0942863,1918,2005,"actress,soundtrack",25,False,2021,0,F
4275,1942,ACTRESS IN A SUPPORTING ROLE,Margaret Wycherly,Sergeant York,False,nm0943618,1881,1956,actress,61,False,2021,0,F
4588,1943,ACTRESS,Rosalind Russell,My Sister Eileen,False,nm0751426,1907,1976,"actress,soundtrack,writer",36,False,2021,0,F
4591,1947,ACTRESS,Rosalind Russell,Sister Kenny,False,nm0751426,1907,1976,"actress,soundtrack,writer",40,False,2021,0,F
4594,1948,ACTRESS,Rosalind Russell,Mourning Becomes Electra,False,nm0751426,1907,1976,"actress,soundtrack,writer",41,False,2021,0,F
4597,1959,ACTRESS,Rosalind Russell,Auntie Mame,False,nm0751426,1907,1976,"actress,soundtrack,writer",52,False,2021,0,F
4603,1943,ACTRESS IN A SUPPORTING ROLE,Gladys Cooper,"Now, Voyager",False,nm0178066,1888,1971,"actress,soundtrack",55,False,2021,0,F
4605,1944,ACTRESS IN A SUPPORTING ROLE,Gladys Cooper,The Song of Bernadette,False,nm0178066,1888,1971,"actress,soundtrack",56,False,2021,0,F
4607,1965,ACTRESS IN A SUPPORTING ROLE,Gladys Cooper,My Fair Lady,False,nm0178066,1888,1971,"actress,soundtrack",77,False,2021,0,F
4609,1943,ACTRESS IN A SUPPORTING ROLE,Agnes Moorehead,The Magnificent Ambersons,False,nm0001547,1900,1974,"actress,soundtrack,miscellaneous",43,False,2021,0,F
4610,1945,ACTRESS IN A SUPPORTING ROLE,Agnes Moorehead,Mrs. Parkington,False,nm0001547,1900,1974,"actress,soundtrack,miscellaneous",45,False,2021,0,F
4611,1949,ACTRESS IN A SUPPORTING ROLE,Agnes Moorehead,Johnny Belinda,False,nm0001547,1900,1974,"actress,soundtrack,miscellaneous",49,False,2021,0,F
4612,1965,ACTRESS IN A SUPPORTING ROLE,Agnes Moorehead,"Hush...Hush, Sweet Charlotte",False,nm0001547,1900,1974,"actress,soundtrack,miscellaneous",65,False,2021,0,F
4613,1943,ACTRESS IN A SUPPORTING ROLE,Susan Peters,Random Harvest,False,nm0676688,1921,1952,"actress,soundtrack",22,False,2021,0,F
4716,1944,ACTRESS,Jean Arthur,The More the Merrier,False,nm0000795,1900,1991,"actress,soundtrack",44,False,2021,0,F
4721,1944,ACTRESS,Ingrid Bergman,For Whom the Bell Tolls,False,nm0000006,1915,1982,"actress,soundtrack,producer",29,False,2021,0,F
4725,1945,ACTRESS,Ingrid Bergman,Gaslight,True,nm0000006,1915,1982,"actress,soundtrack,producer",30,False,2021,0,F
4729,1946,ACTRESS,Ingrid Bergman,The Bells of St. Mary's,False,nm0000006,1915,1982,"actress,soundtrack,producer",31,False,2021,0,F
4733,1949,ACTRESS,Ingrid Bergman,Joan of Arc,False,nm0000006,1915,1982,"actress,soundtrack,producer",34,False,2021,0,F
4737,1957,ACTRESS,Ingrid Bergman,Anastasia,True,nm0000006,1915,1982,"actress,soundtrack,producer",42,False,2021,0,F
4741,1975,ACTRESS IN A SUPPORTING ROLE,Ingrid Bergman,Murder on the Orient Express,True,nm0000006,1915,1982,"actress,soundtrack,producer",60,False,2021,0,F
4745,1979,ACTRESS IN A LEADING ROLE,Ingrid Bergman,Autumn Sonata,False,nm0000006,1915,1982,"actress,soundtrack,producer",64,False,2021,0,F
4749,1944,ACTRESS,Jennifer Jones,The Song of Bernadette,True,nm0428354,1919,2009,"actress,soundtrack",25,False,2021,0,F
4843,1945,ACTRESS IN A SUPPORTING ROLE,Jennifer Jones,Since You Went Away,False,nm0428354,1919,2009,"actress,soundtrack",26,False,2021,0,F
